"chromosome"	"CpG_position"	"M_counts"	"Total_counts"
"chr1"	10469	0	0
"chr1"	10471	0	0
"chr1"	10484	0	0
"chr1"	10489	0	0
"chr1"	10493	0	0
"chr1"	10497	0	0
"chr1"	10525	0	0
"chr1"	10542	0	0
"chr1"	10563	1	1
"chr1"	10571	1	1
"chr1"	10577	1	1
"chr1"	10579	1	1
"chr1"	10589	1	1
"chr1"	10609	1	1
"chr1"	10617	1	2
"chr1"	10620	2	2
"chr1"	10631	2	2
"chr1"	10633	1	2
"chr1"	10636	1	2
"chr1"	10638	1	2
"chr1"	10641	2	2
"chr1"	10644	2	2
"chr1"	10650	1	2
"chr1"	10660	2	2
"chr1"	10662	0	2
"chr1"	10665	2	2
"chr1"	10667	1	2
"chr1"	10670	2	2
"chr1"	10673	2	2
"chr1"	10679	2	2
"chr1"	10689	2	2
"chr1"	10691	0	2
"chr1"	10694	2	2
"chr1"	10696	1	2
"chr1"	10699	2	2
"chr1"	10702	2	2
"chr1"	10708	1	2
"chr1"	10718	1	2
"chr1"	10720	0	2
"chr1"	10723	1	2
"chr1"	10725	1	2
"chr1"	10728	1	2
"chr1"	10731	1	2
"chr1"	10737	1	2
"chr1"	10747	1	2
"chr1"	10749	1	2
"chr1"	10752	1	2
"chr1"	10754	1	2
"chr1"	10757	1	2
"chr1"	10760	1	2
"chr1"	10766	1	2
"chr1"	10776	0	2
"chr1"	10778	1	2
"chr1"	10781	1	2
"chr1"	10783	1	2
"chr1"	10786	1	2
"chr1"	10789	1	2
"chr1"	10795	1	1
"chr1"	10811	0	0
"chr1"	10813	0	0
"chr1"	10816	0	0
"chr1"	10827	0	0
"chr1"	10832	0	0
"chr1"	10838	0	0
"chr1"	10848	0	0
"chr1"	10850	0	0
"chr1"	10853	0	0
"chr1"	10855	0	0
"chr1"	10858	0	0
"chr1"	10861	0	0
"chr1"	10867	0	0
"chr1"	10885	0	0
"chr1"	10887	0	0
"chr1"	10903	0	0
"chr1"	10908	0	0
"chr1"	10914	0	0
"chr1"	10924	0	0
"chr1"	10929	0	0
"chr1"	10931	0	0
"chr1"	10934	0	0
"chr1"	10937	0	0
"chr1"	10943	0	0
"chr1"	10961	0	0
"chr1"	10963	0	0
"chr1"	10979	0	0
"chr1"	10984	0	0
"chr1"	10990	0	0
"chr1"	10998	0	0
"chr1"	11008	0	0
"chr1"	11012	0	0
"chr1"	11027	0	0
"chr1"	11048	0	0
"chr1"	11052	0	0
"chr1"	11055	0	0
"chr1"	11058	0	0
"chr1"	11068	0	0
"chr1"	11082	0	0
"chr1"	11085	0	0
"chr1"	11091	0	0
"chr1"	11093	0	0
"chr1"	11105	0	0
"chr1"	11110	0	0
"chr1"	11116	0	0
"chr1"	11118	0	0
"chr1"	11121	0	0
"chr1"	11129	0	0
"chr1"	11149	0	0
"chr1"	11157	0	0
"chr1"	11163	0	0
"chr1"	11167	0	0
"chr1"	11184	0	0
"chr1"	11200	0	0
"chr1"	11210	0	0
"chr1"	11226	0	0
"chr1"	11239	0	0
"chr1"	11284	0	0
"chr1"	11297	0	0
"chr1"	11300	0	0
"chr1"	11343	0	0
"chr1"	11346	0	0
"chr1"	11404	0	0
"chr1"	11434	0	0
"chr1"	11461	0	0
"chr1"	11480	0	0
"chr1"	11763	0	0
"chr1"	11781	0	0
"chr1"	11792	0	0
"chr1"	11827	0	0
"chr1"	11842	0	0
"chr1"	11868	0	0
"chr1"	11879	1	1
"chr1"	11946	1	1
"chr1"	11960	2	2
"chr1"	12265	1	1
"chr1"	12271	1	1
"chr1"	12278	0	0
"chr1"	12305	0	0
"chr1"	12318	0	0
"chr1"	12331	0	0
"chr1"	12355	1	1
"chr1"	12426	0	1
"chr1"	12506	0	0
"chr1"	12521	0	0
"chr1"	12558	0	0
"chr1"	12586	0	0
"chr1"	12672	0	0
"chr1"	12675	0	0
"chr1"	12679	0	0
"chr1"	12754	0	0
"chr1"	12757	0	0
"chr1"	12773	0	0
"chr1"	12779	0	0
"chr1"	12782	0	0
"chr1"	12807	0	0
"chr1"	12867	1	1
"chr1"	13079	5	5
"chr1"	13216	6	9
"chr1"	13283	11	11
"chr1"	13302	5	9
"chr1"	13417	8	11
"chr1"	13503	15	16
"chr1"	13528	10	14
"chr1"	13537	12	14
"chr1"	13644	5	6
"chr1"	13667	6	6
"chr1"	13693	6	6
"chr1"	13750	8	9
"chr1"	13756	6	9
"chr1"	13823	7	11
"chr1"	13828	7	11
"chr1"	14062	0	5
"chr1"	14179	4	4
"chr1"	14349	4	4
"chr1"	14354	3	5
"chr1"	14435	5	5
"chr1"	14469	4	4
"chr1"	14486	4	5
"chr1"	14521	4	5
"chr1"	14553	6	6
"chr1"	14589	4	5
"chr1"	14653	4	5
"chr1"	14699	6	7
"chr1"	14710	6	7
"chr1"	14716	8	8
"chr1"	14741	12	12
"chr1"	14747	13	13
"chr1"	14773	13	13
"chr1"	14775	14	14
"chr1"	14791	12	14
"chr1"	14888	18	19
"chr1"	14947	19	20
"chr1"	14954	17	20
"chr1"	14975	19	19
"chr1"	15004	20	21
"chr1"	15028	19	19
"chr1"	15045	17	18
"chr1"	15085	19	20
"chr1"	15089	20	20
"chr1"	15171	17	18
"chr1"	15189	18	19
"chr1"	15207	19	22
"chr1"	15239	22	22
"chr1"	15339	24	24
"chr1"	15380	25	25
"chr1"	15389	22	23
"chr1"	15398	25	25
"chr1"	15417	27	27
"chr1"	15513	27	27
"chr1"	15526	27	27
"chr1"	15643	28	31
"chr1"	15720	17	20
"chr1"	15749	17	17
"chr1"	15769	13	15
"chr1"	15789	8	9
"chr1"	15834	7	7
"chr1"	15849	4	4
"chr1"	15865	3	3
"chr1"	15882	2	2
"chr1"	15912	0	0
"chr1"	15955	2	2
"chr1"	16058	5	5
"chr1"	16070	6	6
"chr1"	16082	7	7
"chr1"	16139	9	11
"chr1"	16141	10	12
"chr1"	16243	15	23
"chr1"	16555	18	22
"chr1"	16570	8	16
"chr1"	16617	8	9
"chr1"	16619	8	9
"chr1"	16634	8	9
"chr1"	16646	8	9
"chr1"	16665	5	7
"chr1"	16667	6	7
"chr1"	16731	6	6
"chr1"	16822	9	9
"chr1"	16869	6	8
"chr1"	16932	8	8
"chr1"	16944	8	8
"chr1"	16962	8	8
"chr1"	16974	9	9
"chr1"	17378	27	27
"chr1"	17406	27	28
"chr1"	17452	26	27
"chr1"	17478	26	28
"chr1"	17483	25	27
"chr1"	17492	24	28
"chr1"	17562	12	14
"chr1"	17571	12	14
"chr1"	17584	9	11
"chr1"	17613	12	12
"chr1"	17688	7	7
"chr1"	17694	7	7
"chr1"	17701	7	7
"chr1"	17715	9	9
"chr1"	17853	2	2
"chr1"	17901	0	0
"chr1"	17903	0	0
"chr1"	17925	0	0
"chr1"	17929	0	0
"chr1"	17940	0	0
"chr1"	17964	0	0
"chr1"	17970	0	0
"chr1"	17995	0	0
"chr1"	17999	0	0
"chr1"	18027	0	0
"chr1"	18152	0	0
