"chromosome"	"CpG_position"	"M_counts"	"Total_counts"
"chr1"	10469	0	0
"chr1"	10471	0	0
"chr1"	10484	0	0
"chr1"	10489	0	0
"chr1"	10493	0	0
"chr1"	10497	0	0
"chr1"	10525	0	0
"chr1"	10542	0	0
"chr1"	10563	1	1
"chr1"	10571	1	1
"chr1"	10577	1	1
"chr1"	10579	0	1
"chr1"	10589	1	1
"chr1"	10609	1	1
"chr1"	10617	1	1
"chr1"	10620	1	1
"chr1"	10631	0	1
"chr1"	10633	1	1
"chr1"	10636	1	1
"chr1"	10638	1	1
"chr1"	10641	1	1
"chr1"	10644	1	1
"chr1"	10650	1	1
"chr1"	10660	1	1
"chr1"	10662	1	1
"chr1"	10665	1	1
"chr1"	10667	1	1
"chr1"	10670	1	1
"chr1"	10673	1	1
"chr1"	10679	1	1
"chr1"	10689	1	1
"chr1"	10691	0	1
"chr1"	10694	1	1
"chr1"	10696	1	1
"chr1"	10699	1	1
"chr1"	10702	1	1
"chr1"	10708	1	1
"chr1"	10718	1	1
"chr1"	10720	1	1
"chr1"	10723	1	1
"chr1"	10725	1	1
"chr1"	10728	1	1
"chr1"	10731	1	1
"chr1"	10737	1	1
"chr1"	10747	1	1
"chr1"	10749	0	1
"chr1"	10752	1	1
"chr1"	10754	1	1
"chr1"	10757	1	1
"chr1"	10760	0	1
"chr1"	10766	1	1
"chr1"	10776	0	1
"chr1"	10778	1	1
"chr1"	10781	1	1
"chr1"	10783	1	1
"chr1"	10786	1	1
"chr1"	10789	0	0
"chr1"	10795	0	0
"chr1"	10811	0	0
"chr1"	10813	0	0
"chr1"	10816	0	0
"chr1"	10827	0	0
"chr1"	10832	0	0
"chr1"	10838	0	0
"chr1"	10848	0	0
"chr1"	10850	0	0
"chr1"	10853	0	0
"chr1"	10855	0	0
"chr1"	10858	0	0
"chr1"	10861	0	0
"chr1"	10867	0	0
"chr1"	10885	0	0
"chr1"	10887	0	0
"chr1"	10903	0	0
"chr1"	10908	0	0
"chr1"	10914	0	0
"chr1"	10924	0	0
"chr1"	10929	0	0
"chr1"	10931	0	0
"chr1"	10934	0	0
"chr1"	10937	0	0
"chr1"	10943	0	0
"chr1"	10961	0	0
"chr1"	10963	0	0
"chr1"	10979	0	0
"chr1"	10984	0	0
"chr1"	10990	0	0
"chr1"	10998	0	0
"chr1"	11008	0	0
"chr1"	11012	0	0
"chr1"	11027	0	0
"chr1"	11048	0	0
"chr1"	11052	0	0
"chr1"	11055	0	0
"chr1"	11058	0	0
"chr1"	11068	0	0
"chr1"	11082	0	0
"chr1"	11085	0	0
"chr1"	11091	0	0
"chr1"	11093	0	0
"chr1"	11105	0	0
"chr1"	11110	0	0
"chr1"	11116	0	0
"chr1"	11118	0	0
"chr1"	11121	0	0
"chr1"	11129	0	0
"chr1"	11149	0	0
"chr1"	11157	0	0
"chr1"	11163	0	0
"chr1"	11167	0	0
"chr1"	11184	0	0
"chr1"	11200	0	0
"chr1"	11210	0	0
"chr1"	11226	0	0
"chr1"	11239	0	0
"chr1"	11284	0	0
"chr1"	11297	0	0
"chr1"	11300	0	0
"chr1"	11343	0	0
"chr1"	11346	0	0
"chr1"	11404	0	0
"chr1"	11434	0	0
"chr1"	11461	0	0
"chr1"	11480	0	0
"chr1"	11763	2	2
"chr1"	11781	2	2
"chr1"	11792	2	2
"chr1"	11827	3	3
"chr1"	11842	1	2
"chr1"	11868	2	2
"chr1"	11879	2	2
"chr1"	11946	3	3
"chr1"	11960	3	3
"chr1"	12265	1	1
"chr1"	12271	1	1
"chr1"	12278	1	1
"chr1"	12305	1	1
"chr1"	12318	1	1
"chr1"	12331	1	1
"chr1"	12355	1	1
"chr1"	12426	2	2
"chr1"	12506	1	1
"chr1"	12521	1	1
"chr1"	12558	1	1
"chr1"	12586	1	1
"chr1"	12672	1	1
"chr1"	12675	1	1
"chr1"	12679	1	1
"chr1"	12754	2	2
"chr1"	12757	2	2
"chr1"	12773	2	2
"chr1"	12779	2	2
"chr1"	12782	0	2
"chr1"	12807	2	2
"chr1"	12867	2	2
"chr1"	13079	4	5
"chr1"	13216	0	2
"chr1"	13283	0	1
"chr1"	13302	0	0
"chr1"	13417	4	7
"chr1"	13503	12	12
"chr1"	13528	9	12
"chr1"	13537	8	12
"chr1"	13644	5	5
"chr1"	13667	2	3
"chr1"	13693	2	2
"chr1"	13750	6	6
"chr1"	13756	5	6
"chr1"	13823	6	6
"chr1"	13828	6	6
"chr1"	14062	0	2
"chr1"	14179	3	4
"chr1"	14349	3	3
"chr1"	14354	3	3
"chr1"	14435	2	2
"chr1"	14469	1	1
"chr1"	14486	0	0
"chr1"	14521	0	0
"chr1"	14553	0	0
"chr1"	14589	0	0
"chr1"	14653	0	1
"chr1"	14699	1	2
"chr1"	14710	4	5
"chr1"	14716	4	5
"chr1"	14741	6	6
"chr1"	14747	6	6
"chr1"	14773	7	7
"chr1"	14775	7	7
"chr1"	14791	8	8
"chr1"	14888	9	11
"chr1"	14947	10	11
"chr1"	14954	10	10
"chr1"	14975	9	9
"chr1"	15004	7	8
"chr1"	15028	6	6
"chr1"	15045	6	7
"chr1"	15085	5	5
"chr1"	15089	5	5
"chr1"	15171	15	15
"chr1"	15189	14	16
"chr1"	15207	17	17
"chr1"	15239	14	17
"chr1"	15339	15	15
"chr1"	15380	16	16
"chr1"	15389	15	15
"chr1"	15398	14	16
"chr1"	15417	13	14
"chr1"	15513	19	21
"chr1"	15526	19	19
"chr1"	15643	13	15
"chr1"	15720	9	10
"chr1"	15749	6	6
"chr1"	15769	3	5
"chr1"	15789	3	3
"chr1"	15834	2	2
"chr1"	15849	1	1
"chr1"	15865	1	1
"chr1"	15882	0	0
"chr1"	15912	0	0
"chr1"	15955	0	0
"chr1"	16058	0	0
"chr1"	16070	0	0
"chr1"	16082	0	0
"chr1"	16139	3	4
"chr1"	16141	3	4
"chr1"	16243	11	14
"chr1"	16555	17	19
"chr1"	16570	6	16
"chr1"	16617	7	7
"chr1"	16619	6	7
"chr1"	16634	5	5
"chr1"	16646	4	5
"chr1"	16665	4	5
"chr1"	16667	3	4
"chr1"	16731	5	5
"chr1"	16822	11	12
"chr1"	16869	10	11
"chr1"	16932	9	9
"chr1"	16944	7	8
"chr1"	16962	9	9
"chr1"	16974	8	8
"chr1"	17378	17	18
"chr1"	17406	17	19
"chr1"	17452	17	19
"chr1"	17478	18	20
"chr1"	17483	18	20
"chr1"	17492	19	20
"chr1"	17562	16	16
"chr1"	17571	16	16
"chr1"	17584	14	15
"chr1"	17613	8	11
"chr1"	17688	7	7
"chr1"	17694	7	7
"chr1"	17701	7	7
"chr1"	17715	6	6
"chr1"	17853	0	0
"chr1"	17901	0	0
"chr1"	17903	0	0
"chr1"	17925	0	0
"chr1"	17929	0	0
"chr1"	17940	0	0
"chr1"	17964	0	0
"chr1"	17970	0	0
"chr1"	17995	0	0
"chr1"	17999	0	0
"chr1"	18027	0	0
"chr1"	18152	0	0
